Sleep Date,Time in Wake,Time in REM,Time in Light,Time in Deep,Awakenings,Start of Night,End of Night,Rise Time
8/31/13,3,60,418,75,2,8/31/13 22:35,9/1/13 8:03,9/1/13 8:03
9/1/13,9,36,365,83,4,9/1/13 23:40,9/2/13 8:00,9/2/13 8:00
9/2/13,6,50,339,86,6,9/2/13 23:40,9/3/13 7:50,9/3/13 7:50
9/3/13,34,15,351,39,5,9/3/13 23:20,9/4/13 7:03,9/4/13 7:03
9/4/13,69,32,360,74,2,9/4/13 19:35,9/5/13 4:42,9/5/13 4:42
9/5/13,37,18,267,71,3,9/5/13 23:45,9/6/13 8:59,9/6/13 8:59
9/6/13,2,30,332,57,1,9/7/13 1:10,9/7/13 8:54,9/7/13 8:54
9/7/13,2,8,308,99,2,9/8/13 3:05,9/8/13 10:26,9/8/13 10:24
9/8/13,8,31,373,82,4,9/8/13 23:00,9/9/13 8:06,9/9/13 7:51
9/9/13,26,54,318,60,4,9/9/13 23:15,9/10/13 7:18,9/10/13 7:08
9/10/13,4,40,304,64,4,9/10/13 23:40,9/11/13 7:36,9/11/13 7:36
9/11/13,10,28,404,80,5,9/11/13 22:35,9/12/13 7:28,9/12/13 7:21
9/12/13,11,32,277,70,6,9/13/13 0:45,9/13/13 7:21,9/13/13 7:21
9/13/13,7,1,392,96,4,9/14/13 3:25,9/14/13 11:46,9/14/13 11:43
9/14/13,7,17,384,94,3,9/15/13 2:45,9/15/13 11:17,9/15/13 11:12
9/15/13,7,56,281,64,6,9/16/13 0:15,9/16/13 7:14,9/16/13 7:14
9/16/13,6,76,356,76,4,9/16/13 22:45,9/17/13 7:25,9/17/13 7:25
9/17/13,1,29,253,72,1,9/18/13 0:30,9/18/13 6:35,9/18/13 6:35
9/18/13,17,27,392,75,5,9/18/13 23:15,9/19/13 7:50,9/19/13 7:50
9/19/13,20,30,342,76,3,9/19/13 22:30,9/20/13 7:27,9/20/13 7:27
9/20/13,14,40,378,79,8,9/20/13 22:40,9/21/13 7:23,9/21/13 7:23
9/21/13,23,27,371,78,3,9/21/13 12:20,9/21/13 20:45,9/21/13 20:45
9/22/13,6,58,398,83,4,9/22/13 22:15,9/23/13 7:25,9/23/13 7:23
9/23/13,34,26,374,70,8,9/23/13 23:10,9/24/13 7:46,9/24/13 7:46
9/24/13,71,10,302,68,2,9/25/13 0:05,9/25/13 7:54,9/25/13 7:54
9/25/13,45,16,414,83,7,9/25/13 22:50,9/26/13 8:18,9/26/13 8:18
9/27/13,12,16,422,95,3,9/27/13 21:20,9/28/13 6:59,9/28/13 6:59
9/28/13,2,57,391,83,1,9/28/13 21:30,9/29/13 6:32,9/29/13 6:32
9/29/13,13,88,304,78,3,9/29/13 21:55,9/30/13 6:06,9/30/13 6:05
9/30/13,29,59,321,74,7,9/30/13 22:35,10/1/13 6:45,10/1/13 6:45
10/1/13,8,74,301,89,3,10/1/13 22:05,10/2/13 6:09,10/2/13 6:09
10/2/13,23,38,278,84,6,10/2/13 22:05,10/3/13 5:17,10/3/13 5:16
10/3/13,15,50,287,86,5,10/3/13 22:00,10/4/13 5:20,10/4/13 5:20
10/4/13,12,28,230,98,3,10/4/13 22:50,10/5/13 5:05,10/5/13 5:05
10/5/13,5,32,274,103,1,10/5/13 22:55,10/6/13 5:56,10/6/13 5:56
10/6/13,5,73,391,108,4,10/6/13 20:50,10/7/13 6:42,10/7/13 6:42
10/7/13,6,56,288,91,5,10/7/13 22:35,10/8/13 9:04,10/8/13 9:04
10/8/13,0,4,31,46,0,10/8/13 22:20,10/8/13 23:45,10/8/13 23:45
10/9/13,35,36,391,53,8,10/9/13 21:45,10/10/13 6:31,10/10/13 6:31
10/10/13,14,37,301,82,2,10/10/13 22:10,10/11/13 5:42,10/11/13 5:35
10/11/13,86,38,372,90,3,10/11/13 22:20,10/12/13 8:14,10/12/13 8:14
10/12/13,106,25,336,81,2,10/12/13 16:55,10/13/13 2:11,10/13/13 2:11
10/13/13,3,51,354,89,2,10/13/13 21:55,10/14/13 6:24,10/14/13 6:24
10/14/13,6,46,304,88,2,10/14/13 22:40,10/15/13 6:18,10/15/13 6:12
10/15/13,29,30,290,77,4,10/15/13 22:15,10/16/13 5:30,10/16/13 5:29
10/16/13,9,33,337,96,3,10/16/13 22:15,10/17/13 6:19,10/17/13 6:19
10/17/13,4,7,298,72,2,10/18/13 3:25,10/18/13 9:52,10/18/13 9:52
10/18/13,22,8,270,56,3,10/19/13 2:25,10/19/13 8:28,10/19/13 8:25
10/19/13,3,1,242,60,1,10/20/13 5:35,10/20/13 10:49,10/20/13 10:49
10/20/13,1,60,271,65,1,10/20/13 23:00,10/21/13 6:01,10/21/13 6:00
10/21/13,6,33,373,80,3,10/21/13 21:15,10/22/13 5:41,10/22/13 5:41
10/22/13,57,51,274,80,4,10/22/13 22:05,10/23/13 6:00,10/23/13 5:55
10/24/13,33,37,375,99,3,10/24/13 21:45,10/25/13 6:55,10/25/13 6:55
10/25/13,36,24,291,67,4,10/25/13 21:15,10/26/13 4:25,10/26/13 4:17
10/26/13,2,5,150,39,1,10/26/13 22:35,10/27/13 1:55,10/27/13 1:55
10/26/13,73,26,284,57,5,10/26/13 21:35,10/27/13 4:02,10/27/13 4:02
